Freq:2500000000
Bias:                0.17ms of 10000 times

thread(0) id:2904
                              :      Self Time       ms,      Full Time       ms,      Self Avg Time   ms,      Full Avg Time   ms,      Full Max Time   ms
OnDelayRedraw_Status(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
OnDelayRedraw_CompSep(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
          CompOnMove(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
         CompOnMove1(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
         CompOnMove2(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
        DESTROY_Comp(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
        DESTROY_Cand(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
       DESTROY_Comp2(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
      DESTROY_Status(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
        DelayRedraw1(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
        DelayRedraw2(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
        DelayRedraw3(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
        DelayRedraw4(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
           SyncSkin2(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
           StartSnap(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
             EndSnap(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
       RotateByCheck(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
       RotateByCheck(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
         SuggGetHIMC(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
